company,education,Industry,jobdescription,City,Job_Title,Posting_Date,Skill_Category,Experience_Years,Average_Salary,Year,Month,Month_Name
http://www.ucctravelworld.com/,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We are looking for candidates who want to work 2 to 3 hours and earn 2.5k to 7.5k per week. Complete training will be provided to all candidates before starting up their work. call for more details and fix your appointment Salary:INR 2,75,000 - 5,00,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Direct Marketing Executive Keyskills work from home freelance part - time home based self employed hr executives Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: http://www.ucctravelworld.com/ This is a MCA approved company and providing part time and full time jobs .you have to work 2 to 3 hour at office or at home also. Salary will be provided to you on weekly and monthly basis. Call for more information now or Whatsapp me Download PPT Photo 1   View Contact Details",Jaipur,Simple Online and Offline jobs for Fresher only call me - 07706009743,2016-05-21 08:24:30+00:00,Marketing,0,387500,2016,5,May
Unidus Services (Manpower) Pvt. Ltd hiring for Leading Executive Search Firm,"UG: Any Graduate PG:Any Postgraduate, Post Graduation Not Required Doctorate:Doctorate Not Required",Recruitment / Staffing,"Job Description   Send me Jobs like this End To End Recruitment for Non-IT Clients. Salary:INR 1,00,000 - 3,00,000 P.A. Leading Executive Search Firm of Mumbai looking for Recruiters at Mira Road - Head Office & Noida Branch Office Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Recruiter HR Recruiter Recruitment End To End Recruitment HR Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate, Post Graduation Not Required Doctorate:Doctorate Not Required End to End Recruitment experience of 1-3 years for Non-IT Clients will be preferred. Company Profile: Unidus Services (Manpower) Pvt. Ltd Leading Executive Search Firm Leading Executive Search Firm with Head Office in Mumbai & 15+ Branch offices across pan India. Download PPT Photo 1   View Contact Details",Mumbai,Recruiter | Recruitment Consultant | Senior Recruiter: Mumbai / Noida,2016-05-21 08:24:30+00:00,HR,2.5,200000,2016,5,May
Accord Selection Services,UG: B.Sc PG:Post Graduation Not Required Doctorate:Doctorate Not Required,Other,"Job Description   Send me Jobs like this B.Sc / B.Com MBA in Operations/Certified course in logistics/PPIC. Basic knowledge of Logistics and Supply chain Proficiency in Ms Excel docs & familiar with Tally ERP 7 to 9 years Exp. as a Purchase Manager with Pharma Co. Salary:INR 3,50,000 - 4,50,000 P.A Industry: Other Functional Area: Supply Chain , Logistics , Purchase , Materials Role Category:Purchase/Material Management Role:Purchase/Vendor Development Manager Keyskills Purchase Manager PPIC Manager Desired Candidate Profile Education- UG: B.Sc PG:Post Graduation Not Required Doctorate:Doctorate Not Required Must have knowledge of packing machinery & process Age below 35 years Candidates staying from Colaba to Virar will be considered Place of work : Worli Salary : Rs. 30000 to 40000 per month Company Profile: Accord Selection Services Accord Selection Services A/30 Laram Shopping Centre, Ground Floor, Opp.Platform No.6, Andheri (West), Mumbai 400 058 Tel. no. 26283616, 26287682. 18 years old Placement Service.100% Free Service To Candidates. (No Registration Fee) No Charges after Download PPT Photo 1   View Contact Details",Mumbai,Purchase Manager (male) (walk In Interview),2016-05-21 08:24:30+00:00,Supply Chain,8,400000,2016,5,May
Unidus Services (Manpower) Pvt. Ltd hiring for Mnc's Life Insurance,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required,Insurance,"Job Description   Send me Jobs like this Organize and run recruitment events for Agency Partners and Life Advisors Recruitment of Agency partners and in turn Life Advisors Ensure teams start getting productive quickly Manage prospecting activity in the field. Lead weekly Meetings of Team Salary:INR 4,50,000 - 7,50,000 P.A Industry: Insurance Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills Branch Manager Associate Partner partner Business Development Manager Associate Circle Head Circle Head Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required > Any Graduate/MBA with 5yrs. of Sales Exp In Life insurance with Excellent track record with promotions can Apply > Other Preferable Industry - Pharma, FMCG, > Age - 25yrs. - 40yrs. > Location - Mumbai Mail Profiles to meenakshi.unidus@gmail.com Company Profile: Unidus Services (Manpower) Pvt. Ltd Mnc's Life Insurance A Client Of Unidus Services Manpower pvt. Ltd. Download PPT Photo 1   View Contact Details",Mumbai,Deputy Chief Manager - (managing Partner),2016-05-21 08:24:30+00:00,Sales,7.5,600000,2016,5,May
GreeNxt Technology Solutions Private Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this As the Head of Public Sector Partnerships, you will lead the charge to increase the breadth, depth, and impact of our public sector partnerships across the US, as well as help expand this strategy as we continue to grow. In this leadership role, youll report to the VP of Marketing and Operations and manage Partnership Strategists and inside Account Managers who develop and support partnership accounts. You will also collaborate closely with the product, growth, and marketing teams, provide ongoing market insight to the executive team, and serve as the companys media spokesperson within the state and local market, where appropriate. This position is San Francisco-based. Job responsibilities Accelerate local government partnership growth by setting and executing aggressive partnership development and management strategies across the team Develop and lead a team of seasoned strategists and partner account managers Provide leadership and advocacy within Nexdoor for the markets product and resource needs Create and maintain strategies, processes, and products that bring efficiency, engagement, and scalability to partnerships Build relationships with key local and federal partners at the highest levels of organizations Serve as a leader within the company to define and prioritize, unique and time-sensitive requirements affecting retention, engagement, and partnership growth Serve as a thought leader through external communications Uncover future product and market needs for product and management teams Manage key marketing, conference, association, and federal relationships and seek new partnering opportunities that contribute to partnership growth and goals attainment Job requirements Demonstrated success as leader in a technology partnerships/sales organization, preferably in a technology company, with focus on top 100 largest local government agencies Sophisticated and practical understanding of local government functions, structures, processes, and civic tech trends Proven sales and marketing experience with products and local municipal agencies Demonstrated commitment to strong sales automation and customer service management systems Strong communication (oral and written) and analytical skills Polished, executive level presence; proven ability to present confidently and develop relationships with Mayors, Police Chiefs, and other executives The spokesperson skills to ignite passion and serve as the companys key media representative at press conferences and other local events Willingness to travel, as needed, up to 20% BA/BS Degree or equivalent Proficiency with digital communications and civic tech platforms Benefits 100% company-paid health insurance premiums (medical, dental and vision) for you and your family Paid vacation and company holidays 401K plan Meaningful equity for all employees Commuter benefits through Clipper card Free catered dinners during the week, Monday through Thursday Fully stocked kitchens with drinks, snacks and candy Vibrant downtown San Francisco location near Union Square The option of an adjustable standing desk Salary:INR 15,00,000 - 25,00,000 P.A Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Corporate Communication Executive Keyskills Sales Marketing Operations Events Product Management Partnerships VP Strategy Customer Service Management Development Management Health Insurance Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: GreeNxt Technology Solutions Private Limited GreeNxt is a leading HR solutions company, working with multinational companies for building great workforce. Download PPT Photo 1   View Contact Details",Bengaluru,Head of Public Sector Partnerships,2016-05-21 08:24:30+00:00,Marketing,6.5,2000000,2016,5,May
Ace group,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Export / Import,"Job Description   Send me Jobs like this M.B.A /B.B.A /B.E/B.Tech, BCA, M.Tech, B.Sc ,Are any degree . Candidate should have knowledge of Automobile. with good knowledge of communication skills, Innovate bent of mind, Analytical and Problem solving skills fresher and exp Import & Export Salary:INR 1,00,000 - 4,00,000 P.A Industry: Export / Import Functional Area: Supply Chain , Logistics , Purchase , Materials Role Category:Logistics Role:Store Keeper/Warehouse Assistant Keyskills Import Export Logistics Bca Bsc Problem Solving Communication Skills Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Ace group ACE Company is one of the fastest growing and innovative IT &manufacturing Company firm based out of Mumbai, India. Address: ACE Group Shop No:17,PL-15-A, Sec-17,Maruti Corner, Behind Bikaner Sweets, New Panvel,Mumbai. HR 02265699991 9689146883. Download PPT Photo 1   View Contact Details",Mumbai,Store / Logistics walk in 23 may 2016 to 4jun 2016,2016-05-22 08:24:30+00:00,Supply Chain,2.5,250000,2016,5,May
Quotient Consultancy,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Banking / Financial Services / Broking,"Job Description   Send me Jobs like this Relationship Manager (PCG) for Leading Broking Location : Mumbai (Lower Parel) Experience : Minimum 3 years CTC: Upto 10 Lacs Job Profile : Acquiring and on boarding New HNI clients Building & Developing client Relationship. Developing Margin Funding book Business development through advisory services Achieving Revenue targets Adhering to compliance Interested candidates can share CV people5qc@gmail.com Salary:INR 5,00,000 - 10,00,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills Broking Relationship Management hni client servicing HNI Client Servicing wealth management Portfolio Management PCG Private client Group UHNI Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Quotient Consultancy Executive Search Firm Download PPT Photo 1   View Contact Details",Mumbai Suburbs,Relationship Manager (pcg) : Leading Broking : Mumbai,2016-05-20 08:24:30+00:00,Sales,6.5,750000,2016,5,May
Ace group,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Pharma / Biotech / Clinical Research,"Job Description   Send me Jobs like this D.pharma, B.Pharma ,M.Pharma ,Chemical ,Are any degree . Candidate should have knowledge of pharma. with good knowledge of communication skills, Innovate bent of mind, Analytical and Problem solving skills fresher and exp Salary:INR 1,00,000 - 4,00,000 P.A Industry: Pharma / Biotech / Clinical Research Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:R&D Role:Bio/Pharma Informatics-Associate/Scientist Keyskills Pharma Problem Solving Analytical Communication Skills Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Ace group ACE Company is one of the fastest growing and innovative IT &manufacturing Company firm based out of Mumbai, India. Address: ACE Group Shop No:17,PL-15-A, Sec-17,Maruti Corner, Behind Bikaner Sweets, New Panvel,Mumbai. HR 02265699991 9689146883. Download PPT Photo 1   View Contact Details",Mumbai,Pharmacist / Pharma walk in Interview 23 may 2016 to 4 june 2016,2016-05-22 08:24:30+00:00,Medical,2.5,250000,2016,5,May
Mojos Bistro - Vashi - Navi Mumbai,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Candidate should have pleasing personality, excellent communication skills, fluent in English and should have previous experience of min 2 years as Sr Captain in Hotel/Resort /Lounge Bar with Min150 Covers. Salary :: Rs 15,000 PM depending upon Exp Salary:INR 1,50,000 - 2,00,000 P.A Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Hotels , Restaurants Role Category:Food & Beverage Role:Captain Keyskills Hotel Resort Restaurant Bar General Management Communication Skills Deputy General Manager - Sales & Marketing restaurant manager gm general manager Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Mojos Bistro - Vashi - Navi Mumbai Mojos Bistro is a Sky Lounge Bar located on 7th Floor in Cyber One, Vashi - Navi Mumbai. It has a Restro Bar with 50 Covers, Sky Lounge Bar / Deck with 200 Covers & Sky Garden with 50 Covers. Download PPT Photo 1   View Contact Details",Navi Mumbai,Senior Captains (immediate Joining) at Mojos Bistro,2016-05-22 08:24:30+00:00,Hotels,7.5,175000,2016,5,May
People Venture,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Real Estate / Property,"Job Description   Send me Jobs like this Job Role: *Develop and execute complete Online Marketing, Branding & Communication strategy for the company *Coordinate with agencies for planning & developing diverse online media campaigns *Managing the corporate website/ project micro site Salary:INR 1,00,000 - 6,00,000 P.A Industry: Real Estate / Property Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Online/Digital Marketing Role:Social Media Marketing Manager Keyskills branding Digital Marketing Social Media SEO SEM Online Marketing Web Analytics Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: People Venture People Venture Executive Search Firm - HR Advisory and Consulting Download PPT Photo 1   View Contact Details",Mumbai,Urgent Opening for Digital Marketing Manager in a Leading Company,2016-05-20 08:24:30+00:00,Marketing,4.5,350000,2016,5,May
AG Technologies pvt Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Min 5+ SAP HCM Exp Has done minimum 1 to 2 E2E Strong knowledge of OM,PA,Time management, Indian Payroll, ESS,MSS, Travel Management, Knowledge of reporting tools, Knowledge of abap and basis (basics) Salary:INR 6,00,000 - 14,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:System Design/Implementation/ERP/CRM Role:Functional Outside Consultant Keyskills SAP HCM SAP HR HCM Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: AG Technologies pvt Ltd AG Technologies Pvt. Ltd. is an SEI CMMI-5 Level certified organization & part of US$ 100 million group. With Offices in Mumbai and New York, AG Technologies has some of the finest minds from the I.T. industry. Download PPT Photo 1   View Contact Details",Mumbai,SAP HCM Consultnat,2016-05-23 08:24:30+00:00,IT Software - Application Programming,7.5,1000000,2016,5,May
Apex Services,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Recruitment / Staffing,"Job Description   Send me Jobs like this Dear All, We are looking for Candidates for Campus Recruiter at Andheri, Mumbai. Male Candidates Preferred. Freshers are most welcome. Job Description:- 1:- Good Communication Skills. 2:- Deal with the Placement Coordinators of Colleges. 3:- Deals in Interview Process. 4:- Assist in Joining Formalities. Interested Candidates can give a call directly at Kavitha at 9890688439 or Mayank at 9984931444 or can email me their resumes at mayank@apexservices.in or mayank@apexservices.in Thanks, Mayank Salary:INR 1,00,000 - 1,50,000 P.A Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Recruitment Joining Formalities Interviewing Placement Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Apex Services www.Apexservices.in Download PPT Photo 1   View Contact Details",Mumbai,"Male Campus Recruiter, 0 - 2 Years, Andheri, Mumbai",2016-05-20 08:24:30+00:00,HR,1,125000,2016,5,May
Mojos Bistro - Vashi - Navi Mumbai,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Candidate should have good knowledge about restaurant cashering and should have previous experience of min 2 years as Restaurant Cashier in Hotel/Resort /Lounge Bar with Min150 Covers. Salary :: Rs 12,000 PM depending upon Exp Salary:INR 1,00,000 - 1,25,000 P.A Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Hotels , Restaurants Role Category:Front Office/Customer Care Role:Cashier Keyskills Hotel Resort Restaurant Bar cashier accountant lounge billing accounts executive invoicing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Mojos Bistro - Vashi - Navi Mumbai Mojos Bistro is a Sky Lounge Bar located on 7th Floor in Cyber One, Vashi - Navi Mumbai. It has a Restro Bar with 50 Covers, Sky Lounge Bar / Deck with 200 Covers & Sky Garden with 50 Covers. Download PPT Photo 1   View Contact Details",Navi Mumbai,Restaurant Cashier (immediate Joining) at Mojos Bistro,2016-05-22 08:24:30+00:00,Hotels,7.5,112500,2016,5,May
Sidjobs Consultancy,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this Location:- Noida/Delhi Exp :- 1-3 Years Profile:- -Selling Pharma APPS (Software)to Hospital,Clinics,Doctors & Nursing home - Preferred to be from Pharma Sales - Good in communication Salary:INR 1,00,000 - 3,00,000 P.A Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Sales Executive Activities sales executive pharma selling medical representing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Sidjobs Consultancy Leading IT Pharma firm Download PPT Photo 1   View Contact Details",Mumbai,Pharma Apps Sales Executive in Delhi for Leading IT Clinical firm,2016-05-21 08:24:30+00:00,Sales,2,200000,2016,5,May
Nirmal Lifestyle Ltd,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Real Estate / Property,"Job Description   Send me Jobs like this Responsible for sales of all projects in International Market To implement all the procedures and rules as decided by management time to time To analyze past sales and project future sales for the company To know the trend of customers & requirements Salary:INR 3,00,000 - 5,00,000 P.A. Best in the Industry Industry: Real Estate / Property Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills International Sales Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Female Candidates Only Company Profile: Nirmal Lifestyle Ltd Nirmal is a brand reckoned with over 30 years of development in Mumbai. Its sustained development design for Mulund has earned a reputation of bringing the suburb in the forefront of city's expansion. Download PPT Photo 1   View Contact Details",Mumbai,Executive - International Sales,2016-05-21 08:24:30+00:00,Sales,4,400000,2016,5,May
Finger Tips hiring for A client of Fingertips,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Education / Teaching / Training,"Job Description   Send me Jobs like this He/ She should have handled sales for a new age product line. Ability to create structure/ strategy/ team to achieve the desired goals Salary:INR 40,00,000 - 50,00,000 P.A Industry: Education / Teaching / Training Functional Area: Sales , Retail , Business Development Role Category:Senior Management Role:Head/VP/GM/National Manager -Sales Keyskills Sales sales head VP slaes sales director national manager - sales GM - Sales Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Finger Tips A client of Fingertips A well established listed company working in the education sector Download PPT Photo 1   View Contact Details",Mumbai,Head Sales for a well Established Listed Company,2016-05-21 08:24:30+00:00,Sales,16,4500000,2016,5,May
Career Guideline hiring for Top International BPO,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Fix Shift & Weekend Offs Availaible Freshers/Experience Can Apply Sal 15-45k Openings in Voice/Chat/Technical/ Customer Service Process Availaible Options in Western/Central/Harbour Line Hiring for Top Bpo Brands Call or Whatsapp Mohit -8655265002 Salary:INR 2,25,000 - 6,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills BPO Voice Customer Service Calling freshers Call Centre UK US Australian Technical Support Chat Process Voice Process Bpo Non Voice Sales & Marketing Wipro Serco IBM Convergys Firstsource Sutherland CCE csr TSE good cco Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Career Guideline Top International BPO Top International Bpo in Mumbai Top Recruitment Firm Hiring for Top BPO Brands in Mumbai Voice/Chat/ Customer Service/ Technical Support Download PPT Photo 1   View Contact Details",Mumbai,Jobs in Convergys / Intelenet/wipro/sutherland cll Mohit 8655265002,2016-05-20 08:24:30+00:00,ITES,2.5,412500,2016,5,May
Yashraj Biotechnology Ltd.,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required,Other,"Job Description   Send me Jobs like this Office assistant to provide administrative support in a well-organised and timely manner. The candidate should be conversant with MS-Office (Word, Excel and PowerPoint) Salary:INR 1,50,000 - 2,00,000 P.A Industry: Other Functional Area: HR , Recruitment , Administration , IR Role Category:Other Role:Other Keyskills MS Office Word Excel Powerpoint Office Assistance Administrative Support Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Yashraj Biotechnology Ltd. Yashraj Biotechnology Limited (YBL) is engaged in research programmes to develop cost effective diagnostic tests for human health care purposes. Download PPT Photo 1   View Contact Details",Navi Mumbai,Admin Executive,2016-05-21 08:24:30+00:00,HR,1,175000,2016,5,May
GreeNxt Technology Solutions Private Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required, M.Tech - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",IT-Software / Software Services,"Job Description   Send me Jobs like this We are looking for more exceptional people to join us! Help us solve the challenges of moving travelers around the world and support a thriving community of professional drivers. Senior Interaction Designer, Mobile (f/m) Your challenge: Create UX concepts, wireframes, and final designs. Continuously improve our products and process. Work closely with cross-functional teams on projects of varying length and complexity. Obsess over defining the problem and delivering scalable designs that serve the needs of multiple stakeholders and users. About you: Strong portfolio that demonstrates process and breadth, and the ability to turn ideas into a compelling solution. 5+ years designing user experiences for consumer products (with at least 3+ years designing mobile apps). You speak the design patterns of iOS and Android apps fluently. You can explain design rationale in person and in email, and can present to different levels of the organization. You enjoy taking ownership of a topic, bringing good ideas to life, and shepherding them through to ship. You can triage and adjust to the realities of limited time and resources. You work across functional teams to understand the problem and needs of both the business and our users. You can facilitate discussions to define the user journeys through a service from start to finish. Youre able to respectfully challenge assumptions, give feedback, and build consensus. You quickly shift to the right tools for the problem at hand sketching, wireframing, and storyboarding as necessary. You can set an agenda for an organization, improve processes inside and between teams, and build momentum. You hold yourself to a high standard and help others reach the same level. Background in prototyping, visual design, motion design, and other spoken languages a plus. More than a job: Stand out from the crowd and join the fastest-growing tech startup in Germany. Our unique team is characterized by flat hierarchies, flexible working hours and an open-minded atmosphere. Grow in an environment that values trust, creativity and teamwork. Gain a global perspective in our team of 40 nationalities. Receive a permanent contract with attractive compensation and recognition of your achievements. Work in a historic Berlin 5-story factory-loft. Seriously, where else in Europe would you rather work right now? If you want to be a part of an award-winning company that promises a consistently exceptional experience around the world, please apply through our contact form. We look forward to hearing from you! Salary:INR 11,00,000 - 17,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Telecom Software Role Category:Programming & Design Role:Graphic/Web Designer Keyskills Android Visual Design IOS Interaction Design Consumer Products Design Patterns Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required, M.Tech - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: GreeNxt Technology Solutions Private Limited GreeNxt is a leading HR solutions company, working with multinational companies for building great workforce. Download PPT Photo 1   View Contact Details",Bengaluru,"Senior Interaction Designer, Mobile",2016-05-20 08:24:30+00:00,IT Software - Telecom Software,4.5,1400000,2016,5,May
Quotient Consultancy hiring for Bank,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",Banking / Financial Services / Broking,"Job Description   Send me Jobs like this Opening with a Leading Bank for Business Banking RM. Please find the JD:  Handling working capital products ( CC , OD , LC , BG and Trade Finance) and Business Loan o Financial statements analyzing (eligibility test of clients) o To sourcing and closing leads for working capital products across cross section of business segments-traders, manufacturers. Working closely with branch teams and other departments to source and close the requirements of working capital finance. Coordinating with credit and operations teams for timely disbursement of products and services to the customers Interested Candidates can share their Resume on naukriqc@gmail.com or call Anisha on 022-40697704 Salary:INR 5,00,000 - 11,00,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills business banking bbg term loan business loan business banking group corporate banking commercial banking working capital sme Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Quotient Consultancy Bank Bank Download PPT Photo 1   View Contact Details",Mumbai,Business Banking RM (working Capital) - Bank - Mumbai,2016-05-21 08:24:30+00:00,Sales,4.5,800000,2016,5,May
